Num,Prio,Summary,Resolver_group,Active,Summary_Clean,Summary_Clean_lemmatized,Final_cleaned,Resolver_group_Clean,Resolver_group_Clean_lemmatized,topic,top_words
INC0110205,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6506 is in a current state of: Down,Citrix Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,citrix support,citrix support,citrix support,2,baseline-services_window
INC0110206,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6530 is in a current state of: Down,Citrix Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,citrix support,                 citrix support,                  citrix support,2,baseline-services_window
INC0110210,2 - High,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 9 % is available,Citrix Support,False,alert disk space on xa6501c label 88e6af70,alert disk space on xa6501c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0110216,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Network Support,False,tier 3  critical device down frtartz300f01,tier 3   critical device down frtartz300f01,network support,                network support,                 network support,12,tier-critical
INC0110233,2 - High,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,Linux Support,False,alert cpu utilization on wdiprdcml01haasgrou,alert cpu utilization on wdiprdcml01haasgrou,linux support,                  linux support,                   linux support,1,cpu-utilization
INC0110235,3 - Moderate,Warning Alert: Memory Utilization on GBVCLSQ2-PRESS is : 95 %,Windows Support,False,warning alert memory utilization on gbvclsq2p,warn alert memory utilization on gbvclsq2p,windows support,                windows support,                 window support,9,gbvvscl3-warn
INC0110236,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ8 is : 95 %,Windows Support,False,warning alert memory utilization on gbvvssq8 i,warn alert memory utilization on gbvvssq8 I,windows support,                windows support,                 window support,13,memory-warn
INC0110243,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Network Support,False,tier 3  critical device down frtartz300f01,tier 3   critical device down frtartz300f01,network support,                network support,                 network support,12,tier-critical
INC0110260,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Network Support,False,tier 3  critical device down frtartz300f01,tier 3   critical device down frtartz300f01,network support,                network support,                 network support,12,tier-critical
INC0110263,2 - High,Critical Alert: Memory Utilization on XALIC01 is : 99 %,Citrix Support,False,critical alert memory utilization on xalic01 i,critical alert memory utilization on xalic01 I,citrix support,                 citrix support,                  citrix support,10,esx-utilization
INC0110266,3 - Moderate,Alert: CPU Utilization on AUS-BI02 is Warning	,Windows Support,False,   alert cpu utilization on ausbi02 is warningt,    alert cpu utilization on ausbi02 be warningt,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0110269,3 - Moderate,Alert: CPU Utilization on GBVVSDS0 is Warning	,Windows Support,False,   alert cpu utilization on gbvvsds0 is warningt,    alert cpu utilization on gbvvsds0 be warningt,windows support,                windows support,                 window support,1,cpu-utilization
INC0110284,4 - Low,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,Windows Support,False,critical alert  a microsoft iis component  on ,critical alert   a microsoft iis component   on,windows support,                windows support,                 window support,6,component-microsoft
INC0110287,2 - High,Alert: CPU Utilization on GBVVSWW7 is Critical	,Windows Support,False,  alert cpu utilization on gbvvsww7 is criticalt,   alert cpu utilization on gbvvsww7 be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
INC0110288,3 - Moderate,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %,Windows Support,False,warning alert memory utilization on gbdvssq0 i,warn alert memory utilization on gbdvssq0 I,windows support,                windows support,                 window support,13,memory-warn
